x y z intensity
2.566825 1.78067 0 0.01327535
2.642973 1.816465 0 0.01379416
2.676498 1.822362 0 0.01478599
2.686911 1.812344 0 0.01503014
2.667355 1.782269 0 0.01518273
2.653425 1.756263 0 0.01513695
2.685315 1.76057 0 0.01492332
2.718131 1.765175 0 0.01472496
2.670299 1.717594 0 0.01539635
2.456799 1.565154 0 0.01791409
2.463605 1.554419 0 0.01791409
2.497502 1.560612 0 0.01693751
2.503437 1.549174 0 0.01759365
2.489709 1.525696 0 0.01777676
2.505747 1.520524 0 0.01786831
2.522643 1.515757 0 0.01557946
2.551578 1.518029 0 0.01660182
2.544391 1.498761 0 0.01553368
2.556953 1.491171 0 0.01547265
2.547847 1.471 0 0.01594568
2.543823 1.453914 0 0.01602197
2.575382 1.457081 0 0.01577783
2.597421 1.454625 0 0.01538109
2.609865 1.446672 0 0.01542687
2.652098 1.454991 0 0.01554894
2.654028 1.441019 0 0.01539635
2.625935 1.410966 0 0.01460288
2.617057 1.391514 0 0.01477073
2.635493 1.3866 0 0.01478599
2.685869 1.398175 0 0.01458762
2.707057 1.394226 0 0.01481651
2.700641 1.376045 0 0.01448081
2.706619 1.364248 0 0.01448081
2.736709 1.364473 0 0.01492332
2.737256 1.349865 0 0.01484703
2.726042 1.32958 0 0.01562524
2.713804 1.308984 0 0.01577783
2.73032 1.302296 0 0.01512169
2.739595 1.292077 0 0.0149691
2.861214 1.334206 0 0.01457237
2.898793 1.336362 0 0.01405356
2.880028 1.312504 0 0.01527428
2.837404 1.278157 0 0.01618982
2.831077 1.260477 0 0.01551843
2.810922 1.236835 0 0.01585412
2.805287 1.219773 0 0.0155642
2.913487 1.251733 0 0.01548791
2.93641 1.246432 0 0.0150454
2.919688 1.224327 0 0.01524376
2.895438 1.19933 0 0.01576257
2.88491 1.180248 0 0.01567101
2.904867 1.173643 0 0.01559472
2.92575 1.167256 0 0.01634241
2.947563 1.161076 0 0.01544213
3.029958 1.178286 0 0.01565576
3.143365 1.206625 0 0.0147097
3.221541 1.220533 0 0.01443504
3.179065 1.188604 0 0.01458762
3.064133 1.130418 0 0.01553368
3.069036 1.117038 0 0.01553368
3.098351 1.112422 0 0.0159762
3.144652 1.11358 0 0.0163119
3.3062 1.154577 0 0.01498436
3.332953 1.147628 0 0.01446555
3.348345 1.13661 0 0.01480125
3.353272 1.121989 0 0.01515221
3.319198 1.094507 0 0.01553368
3.222179 1.04695 0 0.01608301
3.269575 1.046599 0 0.01547265
3.376158 1.064499 0 0.01548791
3.424701 1.063398 0 0.01582361
3.605269 1.102241 0 0.01443504
3.641644 1.09601 0 0.01428244
3.63968 1.078122 0 0.01464866
3.637629 1.060272 0 0.01503014
3.668175 1.051832 0 0.01364157
3.658292 1.031745 0 0.01139849
3.662759 1.015773 0 0.01139849
3.6276 0.9889973 0 0.01034562
3.633813 0.9736772 0 0.01087968
3.638994 0.9580671 0 0.01130693
3.64798 0.9434319 0 0.01060502
3.6666 0.9311979 0 0.01008621
3.670629 0.9151905 0 0.01008621
3.729954 0.9127138 0 0.009872587
3.756265 0.9017994 0 0.009796293
3.708575 0.8732535 0 0.01106279
3.707478 0.8559387 0 0.01094072
3.719956 0.84174 0 0.01054398
3.728474 0.8265829 0 0.009445335
3.799474 0.8249468 0 0.009918365
3.809885 0.8098161 0 0.009750515
3.86723 0.8043849 0 0.01008621
3.874622 0.7883008 0 0.00999466
3.878025 0.7713872 0 0.00999466
3.88528 0.755222 0 0.009430076
3.902293 0.7408735 0 0.00967422
3.934986 0.7293066 0 0.009308004
3.948955 0.7140874 0 0.009338521
3.949079 0.6963292 0 0.009231708
3.941239 0.6772287 0 0.008285649
3.944156 0.6600254 0 0.008285649
3.976608 0.6476318 0 0.008163577
4.032732 0.6387219 0 0.008834974
4.059201 0.6247708 0 0.009109636
4.024305 0.6014365 0 0.008651866
4.032829 0.5847324 0 0.008865491
4.069012 0.5718623 0 0.008529793
4.081377 0.555451 0 0.008484016
4.113505 0.5415532 0 0.008239872
